g_labels,Char,x0,x1,y0,y1,height,x_center,y_center
0,"Numărul 42 *Revista este valabilă în perioada: 14.10 – 20.10.2020, cu excepția ofertelor indicate prin „LUNI ȘI MARȚI, 12-13 octombrie‘‘ și „De luni, 19.10 până duminică, 25.10.2020‘‘.  Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal. Toate imaginile sunt cu titlu de prezentare. Oferta disponibilă și pe www.kaufland.ro, 12-13 octombrie‘‘ și „De luni, 19.10 până duminică, 25.10.2020‘‘. ",14.17327,533.93083,31.578590000000002,54.57959,23.001,274.05205,43.07909
1,OFERTĂ ANIVERSARĂ,213.62717,541.7332740641999,772.7878400000001,802.8948399999998,30.106999999999744,377.68022203209995,787.84134
2,valabilă în perioada: 14.10 - 20.10.2020*,359.63107,540.248859039584,761.42993,770.93553,9.505599999999959,449.939964519792,766.18273
3,de premii,199.84257,333.01257000000004,606.16308,636.16308,30.0,266.42757,621.16308
4,Peste,211.75256000000002,290.14256,736.57305,766.57305,30.0,250.94756,751.57305
5,8,373.07895,389.44095,343.36618,370.36618,27.0,381.25995,356.86618
6,bucăți,368.21466000000004,394.30566,332.56619,341.56619,9.0,381.26016000000004,337.06619
7,"59,99",419.22537,536.649306488256,75.18089,119.07768999999999,43.896799999999985,477.937338244128,97.12929
8,-20%,465.959916,511.5900586492979,132.055519,155.01973390954012,22.964214909540118,488.7749873246489,143.53762645477008
9,"74,99",464.46597,508.465545409808,110.43558,127.81298,17.377399999999994,486.46575770490404,119.12428
10,"14,99",422.44897000000003,536.5367532,378.93637,422.83317,43.896799999999985,479.4928616,400.88477
11,-37%,468.268412,513.1454296492977,435.87700599999994,458.7753529095401,22.89834690954018,490.7069208246489,447.32617945477
12,"23,99",464.87457,510.02105624264397,414.19107,431.5684700000001,17.37740000000008,487.447813121322,422.87977000000006
13, -37%37%,99.65938,144.81430999999995,391.60427999999996,409.60427999999996,18.0,122.23684499999997,400.60427999999996
14,"1,99",106.30227,159.65427,339.22177,366.22177,27.0,132.97827,352.72177
15,"3,19",84.81647,114.64047,368.84369,384.84369,16.0,99.72846999999999,376.84369
16, -27%27%,106.01685,152.66142040000003,182.51398,201.09418,18.58019999999999,129.33913520000002,191.80408
17, -32%,288.91821,330.583456430788,126.93648,143.34658000000005,16.410100000000043,309.750833215394,135.14153000000002
18,"2,69",110.30216999999999,167.965823208327,128.44849,156.31878999999995,27.870299999999958,139.13399660416349,142.38363999999996
19,"8,99",291.83105,343.86737139999997,78.55909,103.17419,24.615099999999998,317.84921069999996,90.86663999999999
20,"3,69",90.71817,123.452283931703,159.02219,175.53789,16.51570000000001,107.08522696585149,167.28003999999999
21, -31%,289.37939,328.30415127697,494.31277,510.72287,16.4101,308.841770638485,502.51782000000003
22, -29%,287.86151,329.822136684606,325.10519,341.51529,16.4101,308.841823342303,333.31024
23, -55%,478.68429000000003,520.234666246182,294.07727,310.48737,16.4101,499.459478123091,302.28232
24,"2,99",290.99606,342.9585361,446.56198,471.17708,24.615099999999984,316.97729805,458.86953
25,"7,99",291.09454,342.9585557,277.35778999999997,301.97289,24.61510000000004,317.02654785,289.66534
26,"7,49",482.4277,533.5778763230941,246.31814,270.93324,24.615100000000012,508.0027881615471,258.62569
27,"4,39",274.73306,304.023158121877,473.56469000000004,488.15139000000005,14.586700000000008,289.3781090609385,480.8580400000001
