,Char,x0,x1,width,y0,y1,height
0,N,14.17327,19.50027,5.327,47.57959,54.57959,7.0
1,u,19.29027,23.16827,3.878,47.57959,54.57959,7.0
2,m,22.95827,28.89427,5.936,47.57959,54.57959,7.0
3,ă,28.67727,32.71627,4.0390000000000015,47.57959,54.57959,7.0
4,r,32.50627,34.96327,2.4570000000000007,47.57959,54.57959,7.0
5,u,34.75327,38.63127,3.878,47.57959,54.57959,7.0
6,l,38.42127,39.91227,1.4909999999999997,47.57959,54.57959,7.0
7, ,39.70227,41.52227,1.8200000000000003,47.57959,54.57959,7.0
8,4,41.31227,45.49127,4.179000000000002,47.57959,54.57959,7.0
9,2,45.029270000000004,48.837270000000004,3.808,47.57959,54.57959,7.0
10, ,48.62727,50.44727,1.8200000000000003,47.57959,54.57959,7.0
11,*,50.236670000000004,53.398070000000004,3.1614000000000004,47.57959,54.179590000000005,6.600000000000001
12,R,53.200070000000004,57.54287,4.342799999999997,47.57959,54.179590000000005,6.600000000000001
13,e,57.120470000000005,60.809870000000004,3.689399999999999,47.57959,54.179590000000005,6.600000000000001
14,v,60.407270000000004,63.98447,3.5771999999999977,47.57959,54.179590000000005,6.600000000000001
15,i,63.78647,65.48267,1.6961999999999975,47.57959,54.179590000000005,6.600000000000001
16,s,65.28467,68.28107,2.996399999999994,47.57959,54.179590000000005,6.600000000000001
17,t,67.98340999999999,70.86101,2.877600000000001,47.57959,54.179590000000005,6.600000000000001
18,a,70.53101,74.51080999999999,3.9797999999999973,47.57959,54.179590000000005,6.600000000000001
19, ,74.31281,76.02881,1.715999999999994,47.57959,54.179590000000005,6.600000000000001
20,e,75.83081,79.52021,3.6894000000000062,47.57959,54.179590000000005,6.600000000000001
21,s,79.32221,82.31860999999999,2.996399999999994,47.57959,54.179590000000005,6.600000000000001
22,t,82.02161,84.89921,2.877600000000001,47.57959,54.179590000000005,6.600000000000001
23,e,84.56921,88.25861,3.6894000000000062,47.57959,54.179590000000005,6.600000000000001
24, ,88.06061,89.77660999999999,1.715999999999994,47.57959,54.179590000000005,6.600000000000001
