page_number,chars,x0,x1,y0,y1,labels,tag
1,"20,39",441.55847,461.958095,358.43979,367.50629,0,price
1,"11,49",453.74737,473.8106249,123.16439,132.23089,1,price
1,"Numărul 43 *Revista este valabilă în perioada: 21.10-27.10.2020, cu excepția ofertelor indicate prin „LUNI ȘI MARȚI, 19-20 octombrie‘‘  și „De luni, 26.10 până duminică,  01.11.2020‘‘.  Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal. Toate imaginile sunt cu titlu de prezentare. Oferta disponibilă și pe www.kaufland.roisblp..0cuecpța oete ncateprn ideaităa xclusi csumul ersa.Toatiagiie t u tldprentre. ",14.17327,532.00847,31.57859,54.57959,2,page_info
1,valabilă în perioada: 21.10-27.10.2020*,357.74176,537.8212744,761.54101,771.37551,3,page_info
1,de premiim,199.84257,333.01257,606.16308,636.16308,4,page_info
1,Peste,211.75256,290.14256,736.57305,766.57305,5,page_info
1,OFERTĂ ANIVERSARĂ,204.76646,539.4320639,772.54077,803.24967,6,page_info
1,LUNI&  MARȚI,89.54327,172.6278137,440.56103,483.74758,7,page_info
1,LUNI&  MARȚI,89.54327,172.6278137,196.77225,239.9588,8,page_info
1,OFERTĂ TSPECIALĂ,94.09787,169.6200275,424.8855,433.885497,9,page_info
1,în limita stocului disponibil,93.62127,171.4768626,416.8855,422.8855041,10,page_info
1,-20%,108.89977,154.70977,417.73257,435.73257,11,discount
1,"3,75",114.25457,169.22657,365.3555,392.3555,12,price
1,"4,69",94.39137,126.37537,394.97439,410.97439,13,price
1,OFERTĂ TSPECIALĂ,275.51517,351.0373275,291.65719,300.657187,14,page_info
1,în limita stocului disponibil,275.03857,352.8942626,283.65719,289.6571941,15,page_info
1,-21%,291.72119,334.72319,284.50427,302.50427,16,discount
1,"1,49",298.00567,350.60167,232.12709,259.12709,17,price
1,"1,89",276.04727,305.48727,261.74597,277.74597,18,p
1,OFERTĂ TSPECIALĂ,94.09787,169.6200275,181.21239,190.212387,19,page_info
1,în limita stocului disponibil,93.62127,171.4768626,173.21239,179.2123941,20,page_info
1,OFERTĂ SPECIALĂ,273.16275,348.6849075,129.69238,138.692377,21,page_info
1,în limita stocului disponibil,272.68625,350.5418726,121.69239,127.6923941,22,page_info
1,OFERTĂ SPECIALĂ,274.13177,349.6538175,498.2911,507.291097,23,page_info
1,în limita stocului disponibil,273.65515,351.5107826,490.2911,496.2911041,24,page_info
1,-32%,108.98077,154.62877,174.05958,192.05958,25,discount
1,-27%,288.31576,333.42376,122.53949,140.53949,26,discount
1,-33%,289.04165,334.63565,491.13821,509.13821,27,discount
1,"11,49",103.70057,169.22957,121.68239,148.68239,28,price
1,"5,99",291.43158,348.29358,69.51839,96.51839,29,price
1,"3,99",292.18756,349.26556,438.06839,465.06839,30,price
1,"16,99",94.39367,133.72167,151.30128,167.30128,31,price
1,"8,25",273.38385,305.36785,99.14139,115.14139,32,price
1,"5,99",274.42517,306.71317,467.69259,483.69259,33,price
1,"13,99",422.34085,536.0774623,302.95297,346.84977,34,price
1,-30%,465.343315,511.1617742,359.811307,382.791987,35,discount
1,"19,99",465.32306,508.0367092,338.20758,355.58498,36,price
1,"8,99",443.29837,536.0962052,67.67739,111.57419,37,price
1,-26%,478.002641,523.3503524,124.57671,147.5162205,38,discount
1,"12,25",478.12018,520.2256172,102.93199,120.30939,39,price
1,Prinde ofertele de,15.83327,155.78367,640.57812,656.57812,40,page_info
1,19-20 octombrie,29.761569,154.7216016,592.632378,617.4094443,41,page_info
