title,subtitle,quantity,price_per_metric,promo_message,old_price,discount,new_price,eye_catcher,additional_offers,category_id,url,availability
Aldis,Șunculiță condimentată,100 g,"(=1 kg 34,90)",Reducere cu KauflandCard,"4,85",- 28%,"3,49",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00072264.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Campofrio,Salam de vară,500 g,"(=1 kg 21,36)",Reducere cu Kaufland Card,"12,89",- 17%,"10,68",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00073392.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Cristim,Salam săsesc,350 g,"(=1 kg 37,98)",Reducere cu Kaufland Card,"15,49",- 14%,"13,29",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00203198.html,Valabilitate: din 21.10.2020 până în 27.10.2020
K-Classic,Cârnaţi,540 g,,,"11,69",- 25%,"8,69",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00035165.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Meda,Crenwurşti,100 g,,,"3,09",- 11%,"2,75",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00036226.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Ţara Mea,Ruladă de pui,100 g,,,"4,69",- 27%,"3,39",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00048352.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Meda,Cotlet haiducesc,100 g,,,"6,49",- 20%,"5,19",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00052679.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Meda,Şunca fină,650 g,,,"24,09",- 20%,"19,19",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00067786.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Fragedo,Aripi de pui secţionate,kg,,,"13,49",- 11%,"11,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00076383.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Fragedo,Pui grill,kg,,,"11,49",- 13%,"9,89",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00076385.html,Valabilitate: din 21.10.2020 până în 27.10.2020
La Provincia,Pulpă de pui,kg,,,"8,99",- 17%,"7,39",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00080434.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Muşchiuleţ de porc,,kg,,,"27,99",- 21%,"21,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00088524.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Pulpă de porc fără os,,kg,,,"19,99",- 35%,"12,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00088529.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Țara Mea,Piept de pui dezosat,650 g,,,"13,99",- 22%,"10,89",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00094717.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Meda,Salam bănățean,330 g,,,"15,19",- 27%,"10,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00099420.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Meda,Salam Sinaia,100 g,,,"6,45",- 22%,"4,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00099422.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Cârnăciori picanţi,,kg,,,"19,99",- 25%,"14,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00100267.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Ciolan de porc,,100 g,,,"1,79",- 33%,"1,19",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00100460.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Steakhouse,Aripi de pui,600 g,,,"20,99",- 11%,"18,49",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00108227.html,Valabilitate: din 21.10.2020 până în 27.10.2020
K-Purland,Carne tocată,750 g,,,"17,99",- 22%,"13,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00117820.html,Valabilitate: din 21.10.2020 până în 27.10.2020
K-Purland,Carne tocată,1000 g,,,"16,99",- 29%,"11,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00117901.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Irish Lamb,Piept de miel,kg,,,,,"25,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00121562.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Meda,Salam vienez,250 g,,,"10,99",- 20%,"8,79",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00129487.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Cârnați Turinger,,500 g,,,"7,99",- 12%,"6,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00129572.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Cotlet de porc,,kg,,,,,"14,99",,0,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00131356.html,Valabilitate: din 21.10.2020 până în 27.10.2020
