page_number,chars,x0,x1,y0,y1,labels
1,"20,39",441.55847,461.958095,358.43979,367.50629,0
1,"11,49",453.74737000000005,473.81062494872003,123.16439,132.23089,1
1,"Numărul 43 *Revista este valabilă în perioada: 21.10-27.10.2020, cu excepția ofertelor indicate prin „LUNI ȘI MARȚI, 19-20 octombrie‘‘  și „De luni, 26.10 până duminică,  01.11.2020‘‘.  Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal. Toate imaginile sunt cu titlu de prezentare. Oferta disponibilă și pe www.kaufland.ro*Revista este valabilă în perioada: 21.10-27.10.2020, cu excepția ofertelor indicate prin „Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal. Toate imaginile sunt cu titlu de prezentare. ",14.17327,532.00847,31.578590000000002,54.57959,2
1,valabilă în perioada: 21.10-27.10.2020*,357.74176,537.8212743548702,761.5410099999999,771.3755100000002,3
1,de premiide premii,199.84257,333.01257000000004,606.16308,636.16308,4
1,Peste,211.75256000000002,290.14256,736.57305,766.57305,5
1,OFERTĂ ANIVERSARĂ,204.76646000000002,539.432063900754,772.5407700000001,803.2496699999998,6
1,LUNI&  MARȚI,89.54326999999999,172.62781370635605,440.56102999999996,483.74758,7
1,LUNI&  MARȚI,89.54326999999999,172.62781370635605,196.77225,239.9588,8
1,OFEOFERTĂ TĂ Ă TSPECIALĂ,94.09787,169.62002745,424.8855,433.88549702629996,9
1,îîn limita stocului disponibil ,93.62127,171.4768626,416.8855,422.885504101,10
1, -20%,108.89976999999999,154.70977,417.73257,435.73257,11
1,"3,75",114.25457,169.22657,365.3555,392.3555,12
1,"4,69",94.39137,126.37536999999999,394.97438999999997,410.97438999999997,13
1,OFERTĂ TĂ Ă TSPECIALĂĂ,275.51517,351.03732745,291.65719,300.6571870263,14
1,îîn lilimiitta sttocullui i ddiisponinibil ,275.03857,352.8942626000001,283.65719,289.65719410099996,15
1, -21%,291.72119,334.72319,284.50427,302.50427,16
1,"1,49",298.00567,350.60167,232.12708999999998,259.12709,17
1,"1,89",276.04727,305.48727,261.74597,277.74597,18
1,OFEOFERTĂ TĂ Ă TSPECIALĂ,94.09787,169.62002745,181.21239,190.2123870263,19
1,în lilimita stocului disponibil ,93.62127,171.4768626,173.21239,179.21239410099997,20
1,OFEOFERRTĂ TĂ Ă TSPECIALĂ,273.16275,348.68490745,129.69238,138.69237702630002,21
1,în n limita stocului disponibil ,272.68625,350.5418726000001,121.69238999999999,127.692394101,22
1,OFERTĂ TĂ TSPECIALĂ,274.13177,349.65381745,498.2911,507.29109702629995,23
1,în limita stocului disponibil ,273.65515,351.5107826,490.2911,496.291104101,24
1, -32%,108.98076999999999,154.62877,174.05958,192.05958,25
1, -27%,288.31576,333.42376,122.53948999999999,140.53949,26
1, -33%,289.04165,334.63565,491.13820999999996,509.13820999999996,27
1,"11,49",103.70057,169.22957,121.68238999999998,148.68239,28
1,"5,99",291.43158,348.29357999999996,69.51839,96.51839,29
1,"3,99",292.18756,349.26556,438.06839,465.06839,30
1,"16,99",94.39367,133.72167,151.30128,167.30128,31
1,"8,25",273.38385,305.3678500000001,99.14139,115.14138999999999,32
1,"5,99",274.42517000000004,306.71317,467.69259000000005,483.69259000000005,33
1,"13,99",422.34085,536.0774623117442,302.95297,346.84977000000003,34
1,-30%,465.343315,511.1617742009056,359.811307,382.7919869950227,35
1,"19,99",465.32305999999994,508.0367092,338.20758,355.5849800000001,36
1,"8,99",443.29837000000003,536.0962052,67.67739,111.57418999999999,37
1,-26%,478.002641,523.35035243845,124.57671,147.516220522654,38
1,"12,25",478.12018,520.2256172458419,102.93199,120.30939,39
1,Prinde ofertele de,15.83327,155.78367,640.57812,656.57812,40
1,19-20 octombrie,29.761569,154.721601576,592.632378,617.409444304,41
1,"Toate ofertele  LUNI&MARȚI, ",11.91977,114.90010596087818,62.056202,102.4274037,42
1,în pg. ,115.64516699999999,148.014981432,69.215686,83.50855830400002,43
1,4-9,148.6120635336,171.2079603336,71.52100652920002,88.13773112920002,44
1,PRIGAT Băutură răcoritoare  necarbonatată,94.80837,166.21837,514.34253,560.34253,45
1,diverse sortimente,94.80847,163.17567000000003,504.45901,512.4590099999999,46
1,"pet 1,75 l",94.80847,113.82447,484.97902999999997,502.57901,47
1,DALBIS Telemea,192.75575,232.44575,290.31097,312.31097,48
1,proaspătă din lapte de vacă 42% grăsime 100 g *produs disponibil la vitrina cu servire ,192.75586,264.98626,232.50749,288.42749,49
1,asistata,192.75586,222.42786,223.50749,231.50749,50
1,GOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDENGOLDEN BRAUBRAUBRAUBRAUBRAUBRAUBRAUBRAUBRAU Bere blondăBere blondă,374.78598,432.34607,114.36849,148.36848,51
1,"5% alcool doză Pachet  promoțional 6 x 0,5 l",374.78607,419.87327,65.52499,112.48499,52
1,DOVE Șampon,98.50386999999999,137.45387,284.64169,306.64169,53
1,repair / revival /  moisture damă 400 ml,98.50397,159.56717,245.67827000000003,282.75827000000004,54
1,DERONI Orez,282.04717999999997,321.09717,171.44488,193.44488,55
1,Camolino 1 kg,282.04727,316.4704700000001,151.96139,169.56139,56
1,Struguri albi,193.25986,253.08986000000002,453.10437,463.10437,57
1,calitatea I kg,193.25986,230.57186000000002,433.62088,451.22087999999997,58
1,Pulpă de porc  fără os,379.84247,417.93247,342.27398,376.27398,59
1,ideală  pentru gătit kg,379.84247,404.62647000000004,303.31048,340.39047,60
1,LUNI&MARȚI,28.664871,149.04645030590478,612.6998590000002,639.803573958856,61
1,S1-RO-KW43-KDZ-TITLU-1000-07,449.37765,541.66365,11.40456,17.40456,62
1,1,537.7475599999999,542.0875599999999,22.67715,32.67715,63
2,Stickerul câștigător ,174.55936,395.47936,321.69827000000004,345.69827000000004,0
2,îți aduce 150 lei/oră*,174.55936,402.07696,292.89828,316.89828,1
2,"Mulțumim, România, pentru că porți cu ",174.55936,427.52255999999994,263.14099,277.14099,2
2,mândrie culorile noastre! Mii de români ,175.55336,420.38255999999984,246.145,260.145,3
2,și-au lipit stickerul pe mașină și au ,201.55136000000002,415.5665599999999,229.149,243.149,4
2,câștigat. Mai ai 3 săptămâni să îți ,216.54536000000002,427.77596,212.153,226.153,5
2,lipești și tu stickerul pe mașină ,227.54936,418.73056,195.157,209.157,6
2,pentru a câștiga unul dintre cele ,234.54936,438.55455999999987,178.16099,192.16099,7
2,peste 5000 de vouchere ,238.55336,396.82056,161.16499,175.16499,8
2,de cumpărături în valoare ,240.55536,404.33996,144.16901000000001,158.16901000000001,9
2,de 150 lei.,240.55536,304.85736,127.17299999999999,141.173,10
2,"* Zilnic, de luni până vineri, peste 130 de vouchere de cumpărături în valoare de 150 de lei.",219.61316000000002,532.81236,81.45589,89.45589,11
2,"Pentru înscrierea și participarea la concursul online și pentru extragerea și anunțarea  câștigătorilor, Kaufland va prelucra numele și prenumele tău, numărul de telefon, orașul, ",219.61316000000002,532.6019600000002,59.42389,77.02389000000001,12
2,numărul de înmatriculare și poza mașinii tale în condițiile prevăzute în regulamentul ,219.61316000000002,516.9459600000001,49.823890000000006,57.823890000000006,13
2,concursului de pe site-ul www.kaufland.ro/15anisticker,219.61316000000002,417.67476,40.223890000000004,48.223890000000004,14
2,S2-RO-KW43-KDZ-PR_L-1000-07,10.99659,101.32659,12.53856,18.53856,15
2,2,10.98859,16.848589999999998,22.67715,32.67715,16
3,Ce produse poți să câștigi?,14.17327,246.66809344400795,168.90798999999998,188.9079953877,0
3,În fiecare săptămână sunt 2 categorii de produse ,14.17327,232.68340143000717,151.23868000000002,161.23867759179996,1
3,alese dintre mărcile tale preferate:,14.17327,166.13174176400844,139.23868000000002,149.23867759179996,2
3,21.10-27.10 detergent de la Ariel capsule și mere roșii. 28.10-3.11 vin de la Prahova Valley și Aqua Carpatica.,14.17327,236.0968324960083,109.56868,131.5686775918,3
3,4.11-10.11 lapte de la Olympus și roșii.,14.17327,168.16042831600362,97.56868,107.5686775918,4
3,Consumul mediu anual al unui român*,23.82297,243.78507601088486,214.73739,227.44388999999998,5
3,Super Eroii din săptămâna aceasta Super Eroii din săptămâna aceasta ,291.37875,511.77935000000014,337.72357,351.72357,6
3,sunt brandurile tale preferate: ,326.77075,511.77935000000014,320.64358,334.64358,7
3,"Meda, Heineken, Unisol, Floriol și Gerovital.",233.81076000000002,508.1393600000005,303.56357,317.56357,8
3,Super Eroii săptămânii îți aduc reduceri ,32.59847,471.19846999999976,690.52453,714.52453,9
3,"aniversare, dar și câștiguri de poveste!",32.59847,451.9984699999997,661.72448,685.72448,10
3,"Vino în magazin în fiecare săptămână, cumpără produsele Super Erou ",32.59847,464.38648,636.42047,650.42047,11
3,și vei primi la casa de marcat vouchere de 5 lei.,32.59847,322.03167,619.6204799999999,633.6204799999999,12
3,*Datele care au stat la baza estimării provin din surse statistice din România și date interne Kaufland România,14.17327,443.77747000000005,33.969590000000004,42.969590000000004,13
3,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.338569999999999,343.2190699999999,11.33849,18.33849,14
3,,501.32492480618777,540.373442,251.60630099999997,285.0126801789638,15
3,S3-RO-KW43-KDZ-PR_R-1000-07,450.94964000000004,541.66364,12.53856,18.53856,16
3,3,535.86755,541.8075500000001,22.78715,32.78715,17
4,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.4176599999997,11.33849,18.33849,0
4,LUNI&MARȚI. LUNI&MARȚI,295.706179,535.5179139971225,62.336988,97.7920299938972,1
4,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.430270000000002,539.131167264832,786.46502,810.36189,2
4,,11.693769999999999,50.742287193812196,251.32278,284.72915917896387,3
4,Ofertele din paginile 4-5 sunt valabile      ,250.491579,540.8237812400001,29.676987000000004,66.01792396000002,4
4,  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.2648800000002,761.27093,775.27093,5
4,LUNI&  MARȚI,185.48836,268.524542989968,358.98773,402.17428,6
4,LUNI&  MARȚI,139.78703000000002,222.823212989968,600.28595,643.47247,7
4,LUNI&  MARȚI,456.85846,539.894642989968,412.98303,456.16958,8
4,LUNI&  MARȚI,456.85846,539.894642989968,190.46344,233.65,9
4, -28%,474.55865,520.36865,168.20308,186.20308,10
4,"4,99",477.60345,534.87045,115.60808,142.60808,11
4,"6,99",460.03457000000003,492.51457,145.22699,161.22699,12
4, -20%,474.53488,520.39888,389.13299,407.13299,13
4,"7,99",478.00015,534.88915,336.7558,363.7558,14
4,"9,99",460.05346,492.53346,366.37469,382.37469,15
